# SD ALGORITHM — CV (SD/mean) PER TIMEPOINT,thr_all=0.04,thr_two=0.08
group,concentration_cfu_ml,time_min,cv_R,cv_G,cv_B,cv_RG,cv_RB,cv_GB,sd_flag,meets_thr_all,meets_thr_two
10^8 (Positive Control),100000000.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^8 (Positive Control),100000000.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^8 (Positive Control),100000000.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^8 (Positive Control),100000000.0,40,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^8 (Positive Control),100000000.0,45,0.000615,0.022119,0.001362,0.019243,0.013406,0.005838,0,False,False
10^8 (Positive Control),100000000.0,50,0.000435,0.027655,0.000968,0.027892,0.023836,0.004847,0,False,False
10^8 (Positive Control),100000000.0,55,0.005751,0.032671,0.001028,0.036944,0.031572,0.005789,0,False,False
10^8 (Positive Control),100000000.0,60,0.013209,0.034527,0.000937,0.045066,0.043466,0.005317,0,False,False
10^8 (Positive Control),100000000.0,65,0.01894,0.037462,0.000963,0.053838,0.053917,0.004984,0,False,False
10^8 (Positive Control),100000000.0,70,0.024581,0.040856,0.001122,0.063194,0.063923,0.004654,0,False,False
10^8 (Positive Control),100000000.0,75,0.030221,0.044393,0.001324,0.07272,0.073582,0.00434,0,False,False
10^8 (Positive Control),100000000.0,80,0.03603,0.047943,0.001505,0.082302,0.083087,0.004066,1,False,True
10^8 (Positive Control),100000000.0,85,0.045584,0.045168,0.003598,0.091112,0.091066,0.004056,1,False,True
10^8 (Positive Control),100000000.0,90,0.057092,0.048227,0.009923,0.106554,0.10441,0.004732,1,False,True
10^8 (Positive Control),100000000.0,95,0.06618,0.054535,0.01794,0.122412,0.119343,0.005032,1,False,True
10^8 (Positive Control),100000000.0,100,0.069273,0.062034,0.028178,0.131166,0.129185,0.004885,1,False,True
10^8 (Positive Control),100000000.0,105,0.065962,0.095142,0.033577,0.157784,0.136494,0.026291,1,False,True
