group,concentration_cfu_ml,time_min,R_mean,R_sd,R_N,G_mean,G_sd,G_N,B_mean,B_sd,B_N,RG_ratio_mean,RG_ratio_sd,RG_ratio_N,RB_ratio_mean,RB_ratio_sd,RB_ratio_N,GB_ratio_mean,GB_ratio_sd,GB_ratio_N
10^4,10000.0,90,165.2594,14.072662,4,144.30875,10.314315,4,243.368375,16.722232,4,1.061839,0.077539,4,0.938407,0.130187,4,0.892518,0.186592,4
10^4,10000.0,95,164.848225,14.368331,4,143.23765,10.828704,4,243.64975,16.630444,4,1.0598,0.08278,4,0.94605,0.130725,4,0.902695,0.194891,4
10^4,10000.0,100,165.241925,14.648498,4,143.083675,10.618127,4,243.547875,16.533383,4,1.054332,0.083993,4,0.953465,0.13101,4,0.915039,0.200306,4
10^4,10000.0,105,161.750675,19.592351,4,136.14215,19.050761,4,239.6977,18.00822,4,1.088703,0.110279,4,0.904969,0.176228,4,0.851092,0.266096,4
10^4,10000.0,110,166.08495,23.492199,4,138.2886,19.584926,4,239.707425,17.986936,4,1.068409,0.109583,4,0.974797,0.123623,4,0.92934,0.224911,4
10^4,10000.0,115,166.248675,23.530942,4,138.178475,20.332675,4,239.618525,18.095524,4,1.065523,0.116382,4,0.980347,0.124163,4,0.938888,0.234425,4
10^4,10000.0,120,159.42935,29.84423,4,129.474925,26.07488,4,233.820125,27.617922,4,1.060186,0.122967,4,0.964242,0.086968,4,0.926718,0.200782,4
10^5,100000.0,0,184.639125,24.579144,4,178.539625,32.018832,4,246.3573,10.67482,4,1.045507,0.072856,4,0.840783,0.187456,4,0.812276,0.214811,4
10^5,100000.0,5,175.71365,23.79817,4,165.794875,34.029494,4,247.01615,9.230356,4,1.072207,0.110466,4,0.825818,0.179738,4,0.78433,0.227947,4
10^5,100000.0,10,168.947825,19.82493,4,157.241375,32.050486,4,246.238225,9.985842,4,1.087345,0.13597,4,0.818269,0.163961,4,0.76949,0.222029,4
10^5,100000.0,15,151.76595,16.164616,4,102.06615,19.971514,4,227.557075,22.006049,4,1.287249,0.223662,4,0.95878,0.155559,4,0.779185,0.2709,4
10^5,100000.0,20,152.0652,16.334452,4,101.64505,19.872867,4,227.7297,21.785582,4,1.2855,0.221986,4,0.963771,0.15833,4,0.784408,0.274649,4
10^5,100000.0,25,151.917775,16.667987,4,101.5108,19.536988,4,227.25595,21.736112,4,1.28074,0.222476,4,0.968695,0.158879,4,0.791822,0.278891,4
10^5,100000.0,30,152.52375,17.041189,4,101.2341,19.258782,4,227.20935,21.65963,4,1.28029,0.226779,4,0.973163,0.161735,4,0.797314,0.286895,4
10^5,100000.0,35,152.83485,17.311836,4,101.0983,19.054937,4,227.118525,21.474426,4,1.275904,0.228816,4,0.97737,0.163056,4,0.804452,0.292842,4
10^5,100000.0,40,163.8266,19.529678,4,147.221125,32.491137,4,243.025725,10.371411,4,1.118796,0.157039,4,0.821227,0.159092,4,0.753434,0.221753,4
10^5,100000.0,45,160.7502,18.320939,4,141.18025,31.544135,4,241.82915,11.144245,4,1.140864,0.168481,4,0.826634,0.1569,4,0.74535,0.222839,4
10^5,100000.0,50,158.331725,17.395744,4,136.2803,31.017656,4,241.093075,11.656467,4,1.162497,0.177913,4,0.836566,0.158761,4,0.741737,0.226515,4
10^5,100000.0,55,156.455625,17.332833,4,132.1607,30.925802,4,240.7674,12.058667,4,1.178787,0.183446,4,0.83975,0.165439,4,0.73581,0.233456,4
10^5,100000.0,60,151.45875,23.30477,4,127.277175,33.804842,4,234.96815,17.921068,4,1.181141,0.173675,4,0.839531,0.170831,4,0.733931,0.237287,4
10^5,100000.0,65,150.72165,22.555602,4,124.2082,33.806506,4,234.792,17.929253,4,1.199347,0.183966,4,0.848953,0.180305,4,0.733062,0.247612,4
10^5,100000.0,70,150.093325,22.665775,4,122.14985,34.297859,4,234.617675,18.044938,4,1.21049,0.196683,4,0.852227,0.179707,4,0.73238,0.256834,4
10^5,100000.0,75,151.2273,20.115435,4,120.715,33.755483,4,234.929925,17.376091,4,1.225156,0.209509,4,0.869523,0.178885,4,0.740001,0.262003,4
10^5,100000.0,80,151.12495,19.891597,4,119.2787,33.704203,4,234.813125,17.438228,4,1.232848,0.215071,4,0.878455,0.180445,4,0.744266,0.267585,4
10^5,100000.0,85,150.9659,19.804671,4,117.988025,33.739908,4,234.5009,17.421526,4,1.23944,0.221031,4,0.886527,0.18307,4,0.748856,0.275081,4
10^5,100000.0,90,151.043275,19.718793,4,117.018175,33.759376,4,234.3964,17.504495,4,1.242535,0.225125,4,0.894656,0.186845,4,0.755423,0.28378,4
10^5,100000.0,95,150.81625,20.215452,4,116.1054,33.988734,4,234.446425,17.306104,4,1.242396,0.226436,4,0.903498,0.188958,4,0.764153,0.291649,4
10^5,100000.0,100,151.2903,19.559842,4,115.50175,33.741257,4,234.236,17.463448,4,1.242719,0.228326,4,0.912116,0.188801,4,0.77179,0.295454,4
10^5,100000.0,105,151.183825,19.165288,4,110.758225,28.667489,4,232.5906,14.575078,4,1.284486,0.226016,4,0.888562,0.259309,4,0.736257,0.345056,4
10^5,100000.0,110,157.859275,13.814758,4,111.93725,25.896392,4,233.68975,11.491788,4,1.287752,0.234718,4,0.960473,0.180172,4,0.785778,0.302528,4
10^5,100000.0,115,158.198175,13.688824,4,111.8343,25.304684,4,233.99065,12.077051,4,1.28322,0.232389,4,0.966258,0.185305,4,0.793487,0.309029,4
10^5,100000.0,120,150.995975,15.558948,4,102.2311,20.26363,4,227.340675,21.88237,4,1.289045,0.217764,4,0.952775,0.153178,4,0.771422,0.261863,4
10^6,1000000.0,0,175.50355,27.361179,4,167.2639,33.722517,4,243.0306,10.96806,4,1.06092,0.07143,4,0.80792,0.171881,4,0.770509,0.203939,4
10^6,1000000.0,5,164.454125,25.270345,4,150.084925,35.17505,4,242.1287,7.197503,4,1.111652,0.119813,4,0.787069,0.1701,4,0.723203,0.215306,4
10^6,1000000.0,10,157.683425,22.092691,4,139.731275,33.636449,4,240.8576,8.188545,4,1.14735,0.153924,4,0.780572,0.166341,4,0.698977,0.216723,4
10^6,1000000.0,15,153.03935,13.767166,4,87.7055,25.599196,4,216.2374,15.823187,4,1.565504,0.419276,4,1.017026,0.163177,4,0.71035,0.306553,4
10^6,1000000.0,20,153.744,14.161458,4,87.01085,25.656594,4,216.31955,15.419431,4,1.575562,0.426083,4,1.025114,0.165072,4,0.712709,0.31037,4
10^6,1000000.0,25,154.054,14.545245,4,86.586575,25.335781,4,215.835875,15.627512,4,1.579931,0.427994,4,1.03371,0.166306,4,0.717176,0.31332,4
10^6,1000000.0,30,155.3193,15.224978,4,86.32925,25.059785,4,215.9416,15.351074,4,1.586424,0.434217,4,1.041854,0.16862,4,0.72162,0.319778,4
10^6,1000000.0,35,156.2257,15.767473,4,85.97135,24.89757,4,215.7744,15.171551,4,1.591651,0.43812,4,1.050693,0.170975,4,0.726423,0.324719,4
